card_name,cost,civilization,card_type,race,power,rarity,card_set,coll_num,card_text
Gigagiele,5,darkness,Creature,chimera,3000,r,dm-01,56/110,"■ Slayer (When this creature loses a battle, destroy the other creature.)"
Gigargon,8,darkness,Creature,chimera,3000,vr,dm-01,57/110,"■ When you put this creature into the battle zone, return up to 2 creatures from your graveyard to your hand."
"Masked Horror, Shadow of Scorn",5,darkness,Creature,ghost,1000,u,dm-01,58/110,"■ When you put this creature into the battle zone, your opponent discards a card at random from his hand."
"Night Master, Shadow of Decay",6,darkness,Creature,ghost,3000,r,dm-01,59/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)"
"Skeleton Soldier, the Defiled",4,darkness,Creature,living_dead,3000,c,dm-01,60/110,
Stinger Worm,3,darkness,Creature,parasite_worm,5000,u,dm-01,61/110,"■ When you put this creature into the battle zone, destroy one of your creatures."
Swamp Worm,7,darkness,Creature,parasite_worm,2000,u,dm-01,62/110,"■ When you put this creature into the battle zone, your opponent chooses one of his creatures and destroys it."
Terror Pit,6,darkness,Spell,,,r,dm-01,63/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy one of your opponent's creatures."
Vampire Silphy,8,darkness,Creature,dark_lord,4000,vr,dm-01,64/110,"■ When you put this creature into the battle zone, destroy all creatures that have power 3000 or less."
Wandering Braineater,2,darkness,Creature,living_dead,2000,c,dm-01,65/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack."
Writhing Bone Ghoul,2,darkness,Creature,living_dead,2000,c,dm-01,66/110,
Armored Walker Urherion,4,fire,Creature,armorloid,3000,u,dm-01,67/110,"■ While you have at least 1 Human in the battle zone, this creature gets +2000 power during its attacks."
Artisan Picora,1,fire,Creature,machine_eater,2000,c,dm-01,68/110,"■ When you put this creature into the battle zone, put 1 card from your mana zone into your graveyard."
Bolshack Dragon,6,fire,Creature,armored_dragon,6000,vr,dm-01,69/110,"■ While attacking, this creature gets +1000 power for each fire card in your graveyard.
■ Double breaker (This creature breaks 2 shields.)"
Brawler Zyler,2,fire,Creature,human,1000,c,dm-01,70/110,"■ Power attacker +2000 (While attacking, this creature gets +2000 power.)"
Burning Power,1,fire,Spell,,,c,dm-01,71/110,"■ One of your creatures gets ""power attacker +2000"" until the end of the turn. (While attacking, a creature that has ""power attacker +2000"" gets +2000 power.)"
Chaos Strike,2,fire,Spell,,,r,dm-01,72/110,■ Choose 1 of your opponent's untapped creatures in the battle zone. Your creatures can attack it this turn as though it were tapped.
Crimson Hammer,2,fire,Spell,,,c,dm-01,73/110,■ Destroy 1 of your opponent's creatures that has power 2000 or less.
Deadly Fighter Braid Claw,1,fire,Creature,dragonoid,1000,c,dm-01,74/110,■ This creature attacks each turn if able.
Draglide,5,fire,Creature,dragonoid,5000,r,dm-01,75/110,■ This creature attacks each turn if able.
Explosive Fighter Ucarn,5,fire,Creature,dragonoid,9000,r,dm-01,76/110,"■ When you put this creature into the battle zone, put 2 cards from your mana zone into your graveyard.
■ Double breaker (This creature breaks 2 shields.)"
Fatal Attacker Horvath,3,fire,Creature,human,2000,c,dm-01,77/110,"■ While you have at least 1 Armorloid in the battle zone, this creature gets +2000 power during its attacks."
Fire Sweeper Burning Hellion,4,fire,Creature,dragonoid,3000,c,dm-01,78/110,"■ Power attacker +2000 (While attacking, this creature gets +2000 power.)"
Gatling Skyterror,7,fire,Creature,armored_wyvern,7000,vr,dm-01,79/110,"■ This creature can attack untapped creatures.
■ Double breaker (This creature breaks 2 shields.)"
"Immortal Baron, Vorg",2,fire,Creature,human,2000,c,dm-01,80/110,
Magma Gazer,3,fire,Spell,,,r,dm-01,81/110,"■ One of your creatures gets ""power attacker +4000"" and ""double breaker"" until the end of the turn. (A creature that has ""power attacker +4000"" and ""double breaker"" gets +4000 power while attacking and breaks 2 shields.)"
Meteosaur,5,fire,Creature,rock_beast,2000,u,dm-01,82/110,"■ When you put this creature into the battle zone, destroy one of your opponent's creatures that has power 2000 or less."
Nomad Hero Gigio,5,fire,Creature,machine_eater,3000,r,dm-01,83/110,■ This creature can attack untapped creatures.
Onslaughter Triceps,3,fire,Creature,dragonoid,5000,u,dm-01,84/110,"■ When you put this creature into the battle zone, put 1 card from your mana zone into your graveyard."
"Rothus, the Traveler",4,fire,Creature,armorloid,4000,r,dm-01,85/110,"■ When you put this creature into the battle zone, destroy one of your creatures. Then your opponent chooses one of his creatures and destroys it."
Stonesaur,5,fire,Creature,rock_beast,4000,u,dm-01,86/110,"■ Power attacker +2000 (While attacking, this creature gets +2000 power.)"
Super Explosive Volcanodon,4,fire,Creature,dragonoid,2000,u,dm-01,87/110,"■ Power attacker +4000 (While attacking, this creature gets +4000 power.)"
Tornado Flame,5,fire,Spell,,,u,dm-01,88/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy one of your opponent's creatures that has power 4000 or less."
Aura Blast,4,nature,Spell,,,r,dm-01,89/110,"■ Each of your creatures in the battle zone gets ""power attacker +2000"" until the end of the turn. (While attacking, a creature that has ""power attacker +2000"" gets +2000 power.)"
Bronze-Arm Tribe,3,nature,Creature,beast_folk,1000,c,dm-01,90/110,"■ When you put this creature into the battle zone, put the top card of your deck into your mana zone."
Burning Mane,2,nature,Creature,beast_folk,2000,c,dm-01,91/110,
Coiling Vines,4,nature,Creature,tree_folk,3000,u,dm-01,92/110,"■ When this creature would be destroyed, put it into your mana zone instead."
Dimension Gate,3,nature,Spell,,,c,dm-01,93/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Search your deck. You may take a creature from your deck, show that creature to your opponent, and put it into your hand. Then shuffle your deck."
Dome Shell,4,nature,Creature,colony_beetle,3000,u,dm-01,94/110,"■ Power attacker +2000 (While attacking, this creature gets +2000 power.)"
Fear Fang,3,nature,Creature,beast_folk,3000,c,dm-01,95/110,
Forest Hornet,4,nature,Creature,giant_insect,4000,u,dm-01,96/110,
Golden Wing Striker,3,nature,Creature,beast_folk,2000,c,dm-01,97/110,"■ Power attacker +2000 (While attacking, this creature gets +2000 power.)"
Mighty Shouter,3,nature,Creature,beast_folk,2000,c,dm-01,98/110,"■ When this creature would be destroyed, put it into your mana zone instead."
Natural Snare,6,nature,Spell,,,r,dm-01,99/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Choose one of your opponent's creatures in the battle zone and put it into his mana zone."
Pangaea's Song,1,nature,Spell,,,u,dm-01,100/110,■ Put 1 of your creatures from the battle zone into your mana zone.
Poisonous Dahlia,4,nature,Creature,tree_folk,5000,u,dm-01,101/110,■ This creature can't attack players.
Poisonous Mushroom,2,nature,Creature,balloon_mushroom,1000,u,dm-01,102/110,"■ When you put this creature into the battle zone, you may put 1 card from your hand into your mana zone."
Red-Eye Scorpion,5,nature,Creature,giant_insect,4000,r,dm-01,103/110,"■ When this creature would be destroyed, put it into your mana zone instead."
Stampeding Longhorn,5,nature,Creature,horned_beast,4000,r,dm-01,104/110,■ This creature can't be blocked by any creature that has power 3000 or less.
Steel Smasher,2,nature,Creature,beast_folk,3000,c,dm-01,105/110,■ This creature can't attack players.
Storm Shell,7,nature,Creature,colony_beetle,2000,r,dm-01,106/110,"■ When you put this creature into the battle zone, your opponent chooses one of his creatures in the battle zone and puts it into his mana zone."
Thorny Mandra,5,nature,Creature,tree_folk,4000,vr,dm-01,107/110,"■ When you put this creature into the battle zone, you may put 1 creature from your graveyard into your mana zone."
Tower Shell,6,nature,Creature,colony_beetle,5000,vr,dm-01,108/110,■ This creature can't be blocked by any creature that has power 4000 or less.
Tri-horn Shepherd,5,nature,Creature,horned_beast,5000,r,dm-01,109/110,
Ultimate Force,5,nature,Spell,,,c,dm-01,110/110,■ Put the top 2 cards of your deck into your mana zone.
"Ladia Bale, the Inspirational",6,light,Evolution Creature,guardian,9500,sr,dm-02,S1/S5,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Evolution—Put on one of your Guardians.
■ Double breaker (This creature breaks 2 shields.)"
Crystal Paladin,4,water,Evolution Creature,liquid_people,5000,sr,dm-02,S2/S5,"■ Evolution—Put on one of your Liquid People.
■ When you put this creature into the battle zone, return all creatures in the battle zone that have ""blocker"" to their owners' hands."
Ultracide Worm,6,darkness,Evolution Creature,parasite_worm,11000,sr,dm-02,S3/S5,"■ Evolution—Put on one of your Parasite Worms.
■ Double breaker (This creature breaks 2 shields.)"
Armored Blaster Valdios,4,fire,Evolution Creature,human,6000,sr,dm-02,S4/S5,"■ Evolution—Put on one of your Humans.
■ Each of your other Humans in the battle zone gets +1000 power.
■ Double breaker (This creature breaks 2 shields.)"
Fighter Dual Fang,6,nature,Evolution Creature,beast_folk,8000,sr,dm-02,S5/S5,"■ Evolution—Put on one of your Beast Folk.
■ When you put this creature into the battle zone, put the top 2 cards of your deck into your mana zone.
■ Double breaker (This creature breaks 2 shields.)"
Diamond Cutter,5,light,Spell,,,u,dm-02,1/55,"■ This turn, ignore any effects that would prevent your creatures from attacking your opponent. (For example, ignore summoning sickness and card effects that say ""This creature can't attack"" or ""This creature can't attack players"". Your creatures can't attack creatures this way.)"
"Ethel, Star Sea Elemental",6,light,Creature,angel_command,5500,vr,dm-02,2/55,■ This creature can't be blocked.
"Fonch, the Oracle",4,light,Creature,light_bringer,2000,c,dm-02,3/55,"■ When you put this creature into the battle zone, choose one of your opponent's creatures in the battle zone and tap it."
"Laguna, Lightning Enforcer",5,light,Creature,berserker,2500,r,dm-02,4/55,"■ Whenever this creature attacks, search your deck. You may take a spell from your deck, show that spell to your opponent, and put it into your hand. Then shuffle your deck."
"Larba Geer, the Immaculate",3,light,Evolution Creature,guardian,5000,u,dm-02,5/55,"■ Evolution—Put on one of your Guardians.
■ When you put this creature into the battle zone, tap all your opponent's creatures in the battle zone that have ""blocker""."
Logic Cube,3,light,Spell,,,c,dm-02,6/55,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Search your deck. You may take a spell from your deck, show that spell to your opponent, and put it into your hand. Then shuffle your deck."
"Magris, Vizier of Magnetism",4,light,Creature,initiate,3000,c,dm-02,7/55,"■ When you put this creature into the battle zone, you may draw a card."
"Phal Eega, Dawn Guardian",5,light,Creature,guardian,4000,r,dm-02,8/55,"■ When you put this creature into the battle zone, you may return a spell from your graveyard to your hand."
"Reso Pacos, Clear Sky Guardian",3,light,Creature,guardian,3000,c,dm-02,9/55,
Spiral Grass,4,light,Creature,starlight_tree,2500,r,dm-02,10/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Whenever this creature blocks, untap it after it battles."
"Wyn, the Oracle",2,light,Creature,light_bringer,1500,u,dm-02,11/55,"■ Whenever this creature attacks, you may look at one of your opponent's shields. Then put it back where it was."
Aqua Bouncer,6,water,Creature,liquid_people,1000,r,dm-02,12/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ When you put this creature into the battle zone, you may choose a creature in the battle zone and return it to its owner's hand."
Aqua Shooter,4,water,Creature,liquid_people,2000,c,dm-02,13/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)"
Corile,5,water,Creature,cyber_lord,2000,c,dm-02,14/55,"■ When you put this creature into the battle zone, choose one of your opponent's creatures in the battle zone and put it on top of his deck."
Crystal Lancer,6,water,Evolution Creature,liquid_people,8000,u,dm-02,15/55,"■ Evolution—Put on one of your Liquid People.
■ This creature can't be blocked.
■ Double breaker (This creature breaks 2 shields.)"
Hypersquid Walter,3,water,Creature,cyber_lord,1000,r,dm-02,16/55,"■ Whenever this creature attacks, you may draw a card."
King Nautilus,8,water,Creature,leviathan,6000,r,dm-02,17/55,"■ Liquid People can't be blocked.
■ Double breaker (This creature breaks 2 shields.)"
Plasma Chaser,6,water,Creature,gel_fish,4000,vr,dm-02,18/55,"■ Whenever this creature attacks, you may draw a number of cards equal to the number of creatures your opponent has in the battle zone."
Recon Operation,2,water,Spell,,,c,dm-02,19/55,■ Look at up to 3 of your opponent's shields. Then put them back where they were.
Scissor Eye,4,water,Creature,gel_fish,3000,c,dm-02,20/55,
Stained Glass,3,water,Creature,cyber_virus,1000,u,dm-02,21/55,"■ Whenever this creature attacks, you may choose one of your opponent's fire or nature creatures in the battle zone and return it to its owner's hand."
Thought Probe,4,water,Spell,,,u,dm-02,22/55,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ When you cast this spell, if your opponent has 3 or more creatures in the battle zone, draw 3 cards."
Amber Piercer,4,darkness,Creature,brain_jacker,2000,r,dm-02,23/55,"■ Whenever this creature attacks, you may return a creature from your graveyard to your hand."
Chaos Worm,5,darkness,Evolution Creature,parasite_worm,5000,u,dm-02,24/55,"■ Evolution—Put on one of your Parasite Worms.
■ When you put this creature into the battle zone, you may destroy one of your opponent's creatures."
Critical Blade,2,darkness,Spell,,,c,dm-02,25/55,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy one of your opponent's creatures that has ""blocker""."
Dark Titan Maginn,6,darkness,Creature,demon_command,4000,vr,dm-02,26/55,"■ Whenever this creature attacks, your opponent discards a card at random from his hand."
General Dark Fiend,5,darkness,Creature,dark_lord,6000,r,dm-02,27/55,"■ Whenever this creature attacks, choose one of your shields without looking and put it into your graveyard. You can't use the ""shield trigger"" ability of that shield.
■ Double breaker (This creature breaks 2 shields.)"
Gigastand,4,darkness,Creature,chimera,3000,c,dm-02,28/55,"■ When this creature would be put into your graveyard from the battle zone, you may return it to your hand instead. If you do, discard a card from your hand."
"Gray Balloon, Shadow of Greed",3,darkness,Creature,ghost,3000,u,dm-02,29/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players."
Horrid Worm,3,darkness,Creature,parasite_worm,2000,c,dm-02,30/55,"■ Whenever this creature attacks, your opponent discards a card at random from his hand."
Lost Soul,7,darkness,Spell,,,u,dm-02,31/55,■ Your opponent discards all cards from his hand.
"Marrow Ooze, the Twister",1,darkness,Creature,living_dead,1000,c,dm-02,32/55,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ When this creature attacks a player, destroy it after the attack."
Poison Worm,4,darkness,Creature,parasite_worm,3000,r,dm-02,33/55,"■ When you put this creature into the battle zone, destroy one of your creatures that has power 3000 or less."
Armored Cannon Balbaro,3,fire,Evolution Creature,human,3000,u,dm-02,34/55,"■ Evolution—Put on one of your Humans.
■ While attacking, this creature gets +2000 power for each other Human in the battle zone."
Bolzard Dragon,6,fire,Creature,armored_dragon,5000,vr,dm-02,35/55,"■ Whenever this creature attacks, choose a card in your opponent's mana zone and put it into his graveyard."
Bombersaur,5,fire,Creature,rock_beast,5000,r,dm-02,36/55,"■ When this creature is destroyed, each player chooses 2 cards in his mana zone and puts them into his graveyard."
Burst Shot,6,fire,Spell,,,u,dm-02,37/55,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy all creatures that have power 2000 or less."
Cavalry General Curatops,3,fire,Creature,dragonoid,2000,u,dm-02,38/55,■ This creature can attack untapped creatures.
"Dogarn, the Marauder",3,fire,Creature,armorloid,2000,r,dm-02,39/55,"■ While attacking, this creature gets +2000 power for each other tapped creature you have in the battle zone."
Engineer Kipo,2,fire,Creature,machine_eater,2000,c,dm-02,40/55,"■ When this creature is destroyed, each player chooses a card in his mana zone and puts it into his graveyard."
Galsaur,5,fire,Creature,rock_beast,4000,c,dm-02,41/55,"■ While you have no other creatures in the battle zone, this creature gets ""power attacker +4000"" and ""double breaker"". (A creature that has ""power attacker +4000"" and ""double breaker"" gets +4000 power while attacking and breaks 2 shields.)"
Metalwing Skyterror,7,fire,Creature,armored_wyvern,6000,r,dm-02,42/55,"■ Whenever this creature attacks, you may choose a creature in the battle zone that has ""blocker"" and destroy it.
■ Double breaker (This creature breaks 2 shields.)"
Mini Titan Gett,2,fire,Creature,human,2000,c,dm-02,43/55,"■ This creature attacks each turn if able.
■ Power attacker +1000 (While attacking, this creature gets +1000 power.)"
Rumble Gate,4,fire,Spell,,,c,dm-02,44/55,"■ Each of your creatures in the battle zone gets +1000 power until the end of the turn.
■ Each of your creatures in the battle zone that can attack creatures can attack untapped creatures this turn."
"Barkwhip, the Smasher",2,nature,Evolution Creature,beast_folk,5000,u,dm-02,45/55,"■ Evolution—Put on one of your Beast Folk.
■ While this creature is tapped, each of your other Beast Folk in the battle zone gets +2000 power."
Elf-X,4,nature,Creature,tree_folk,2000,r,dm-02,46/55,■ Your creatures each cost 1 less to summon. They can't cost less than 1.
Essence Elf,2,nature,Creature,tree_folk,1000,c,dm-02,47/55,■ Your spells each cost 1 less to cast. They can't cost less than 1.
Fortress Shell,9,nature,Creature,colony_beetle,5000,r,dm-02,48/55,"■ When you put this creature into the battle zone, choose up to 2 cards in your opponent's mana zone and put it into his graveyard."
Leaping Tornado Horn,3,nature,Creature,horned_beast,2000,c,dm-02,49/55,"■ While attacking, this creature gets +1000 power for each other creature you have in the battle zone."
